Batch,Dept,Name,ID,Cluster,Room,Seat,Day,Time Slot,Room Capacity
21,AI,Charlotte Evans,646,3,Room 4,105,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,547,3,Room 4,106,Day 1,Time Slot 1,30
21,AI,Charlotte Evans,614,3,Room 4,107,Day 1,Time Slot 1,30
22,AI,Matthew Nelson,653,3,Room 4,108,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,606,3,Room 4,109,Day 1,Time Slot 1,30
20,AI,William Rodriguez,605,3,Room 4,110,Day 1,Time Slot 1,30
22,AI,Grace Robinson,654,3,Room 4,111,Day 1,Time Slot 1,30
19,AI,Sarah Clark,598,3,Room 4,112,Day 1,Time Slot 1,30
19,AI,James Wilson,597,3,Room 4,113,Day 1,Time Slot 1,30
19,AI,James Wilson,661,3,Room 4,114,Day 1,Time Slot 1,30
21,AI,Alexander Scott,613,3,Room 4,115,Day 1,Time Slot 1,30
20,AI,William Rodriguez,546,3,Room 4,116,Day 1,Time Slot 1,30
19,AI,Sarah Clark,694,3,Room 4,117,Day 1,Time Slot 1,30
19,AI,Sarah Clark,539,3,Room 4,118,Day 1,Time Slot 1,30
21,AI,Alexander Scott,490,3,Room 4,119,Day 1,Time Slot 1,30
21,AI,Alexander Scott,736,3,Room 4,120,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,483,3,Room 5,121,Day 1,Time Slot 1,25
20,AI,William Rodriguez,482,3,Room 5,122,Day 1,Time Slot 1,25
21,AI,Charlotte Evans,737,3,Room 5,123,Day 1,Time Slot 1,25
19,AI,Sarah Clark,475,3,Room 5,124,Day 1,Time Slot 1,25
19,AI,James Wilson,474,3,Room 5,125,Day 1,Time Slot 1,25
21,AI,Charlotte Evans,491,3,Room 5,126,Day 1,Time Slot 1,25
22,AI,Matthew Nelson,744,3,Room 5,127,Day 1,Time Slot 1,25
21,AI,Charlotte Evans,464,3,Room 5,128,Day 1,Time Slot 1,25
21,AI,Alexander Scott,463,3,Room 5,129,Day 1,Time Slot 1,25
19,AI,James Wilson,752,3,Room 5,130,Day 1,Time Slot 1,25
19,AI,Sarah Clark,753,3,Room 5,131,Day 1,Time Slot 1,25
20,AI,Sophia Lopez,456,3,Room 5,132,Day 1,Time Slot 1,25
20,AI,William Rodriguez,455,3,Room 5,133,Day 1,Time Slot 1,25
20,AI,William Rodriguez,760,3,Room 5,134,Day 1,Time Slot 1,25
22,AI,Grace Robinson,745,3,Room 5,135,Day 1,Time Slot 1,25
21,AI,Alexander Scott,891,3,Room 5,136,Day 1,Time Slot 1,25
20,AI,Sophia Lopez,729,3,Room 5,137,Day 1,Time Slot 1,25
22,AI,Matthew Nelson,498,3,Room 5,138,Day 1,Time Slot 1,25
19,AI,James Wilson,538,3,Room 5,139,Day 1,Time Slot 1,25
20,AI,William Rodriguez,701,3,Room 5,140,Day 1,Time Slot 1,25
20,AI,Sophia Lopez,702,3,Room 5,141,Day 1,Time Slot 1,25
22,AI,Grace Robinson,531,3,Room 5,142,Day 1,Time Slot 1,25
22,AI,Matthew Nelson,530,3,Room 5,143,Day 1,Time Slot 1,25
21,AI,Alexander Scott,709,3,Room 5,144,Day 1,Time Slot 1,25
21,AI,Charlotte Evans,523,3,Room 5,145,Day 1,Time Slot 1,25
20,AI,William Rodriguez,728,3,Room 6,146,Day 1,Time Slot 1,35
21,AI,Alexander Scott,522,3,Room 6,147,Day 1,Time Slot 1,35
20,AI,Sophia Lopez,515,3,Room 6,148,Day 1,Time Slot 1,35
20,AI,William Rodriguez,514,3,Room 6,149,Day 1,Time Slot 1,35
19,AI,James Wilson,720,3,Room 6,150,Day 1,Time Slot 1,35
19,AI,Sarah Clark,507,3,Room 6,151,Day 1,Time Slot 1,35
19,AI,James Wilson,506,3,Room 6,152,Day 1,Time Slot 1,35
19,AI,Sarah Clark,721,3,Room 6,153,Day 1,Time Slot 1,35
22,AI,Grace Robinson,499,3,Room 6,154,Day 1,Time Slot 1,35
21,AI,Charlotte Evans,710,3,Room 6,155,Day 1,Time Slot 1,35
21,AI,Charlotte Evans,892,3,Room 6,156,Day 1,Time Slot 1,35
20,AI,William Rodriguez,637,3,Room 6,157,Day 1,Time Slot 1,35
21,AI,Charlotte Evans,983,3,Room 6,158,Day 1,Time Slot 1,35
20,AI,William Rodriguez,145,3,Room 6,159,Day 1,Time Slot 1,35
20,AI,Sophia Lopez,916,3,Room 6,160,Day 1,Time Slot 1,35
20,AI,William Rodriguez,209,3,Room 6,161,Day 1,Time Slot 1,35
19,AI,Sarah Clark,170,3,Room 6,162,Day 1,Time Slot 1,35
21,AI,Alexander Scott,121,3,Room 6,163,Day 1,Time Slot 1,35
21,AI,Charlotte Evans,122,3,Room 6,164,Day 1,Time Slot 1,35
20,AI,Sophia Lopez,237,3,Room 6,165,Day 1,Time Slot 1,35
20,AI,William Rodriguez,236,3,Room 6,166,Day 1,Time Slot 1,35
19,AI,James Wilson,169,3,Room 6,167,Day 1,Time Slot 1,35
19,AI,James Wilson,907,3,Room 6,168,Day 1,Time Slot 1,35
19,AI,Sarah Clark,908,3,Room 6,169,Day 1,Time Slot 1,35
21,AI,Alexander Scott,955,3,Room 6,170,Day 1,Time Slot 1,35
19,AI,James Wilson,966,3,Room 6,171,Day 1,Time Slot 1,35
21,AI,Alexander Scott,982,3,Room 6,172,Day 1,Time Slot 1,35
22,AI,Grace Robinson,932,3,Room 6,173,Day 1,Time Slot 1,35
21,AI,Charlotte Evans,956,3,Room 6,174,Day 1,Time Slot 1,35
22,AI,Matthew Nelson,129,3,Room 6,175,Day 1,Time Slot 1,35
19,AI,Sarah Clark,229,3,Room 6,176,Day 1,Time Slot 1,35
22,AI,Grace Robinson,130,3,Room 6,177,Day 1,Time Slot 1,35
19,AI,Sarah Clark,138,3,Room 6,178,Day 1,Time Slot 1,35
22,AI,Matthew Nelson,931,3,Room 6,179,Day 1,Time Slot 1,35
19,AI,James Wilson,228,3,Room 6,180,Day 1,Time Slot 1,35
19,AI,James Wilson,201,3,Room 7,181,Day 1,Time Slot 1,30
19,AI,Sarah Clark,202,3,Room 7,182,Day 1,Time Slot 1,30
19,AI,James Wilson,137,3,Room 7,183,Day 1,Time Slot 1,30
22,AI,Matthew Nelson,161,3,Room 7,184,Day 1,Time Slot 1,30
22,AI,Grace Robinson,162,3,Room 7,185,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,975,3,Room 7,186,Day 1,Time Slot 1,30
20,AI,William Rodriguez,915,3,Room 7,187,Day 1,Time Slot 1,30
21,AI,Charlotte Evans,218,3,Room 7,188,Day 1,Time Slot 1,30
22,AI,Matthew Nelson,193,3,Room 7,189,Day 1,Time Slot 1,30
22,AI,Grace Robinson,194,3,Room 7,190,Day 1,Time Slot 1,30
21,AI,Alexander Scott,153,3,Room 7,191,Day 1,Time Slot 1,30
21,AI,Charlotte Evans,154,3,Room 7,192,Day 1,Time Slot 1,30
21,AI,Alexander Scott,217,3,Room 7,193,Day 1,Time Slot 1,30
19,AI,Sarah Clark,940,3,Room 7,194,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,178,3,Room 7,195,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,210,3,Room 7,196,Day 1,Time Slot 1,30
21,AI,Alexander Scott,923,3,Room 7,197,Day 1,Time Slot 1,30
19,AI,Sarah Clark,106,3,Room 7,198,Day 1,Time Slot 1,30
22,AI,Matthew Nelson,252,3,Room 7,199,Day 1,Time Slot 1,30
19,AI,James Wilson,105,3,Room 7,200,Day 1,Time Slot 1,30
21,AI,Charlotte Evans,186,3,Room 7,201,Day 1,Time Slot 1,30
21,AI,Charlotte Evans,924,3,Room 7,202,Day 1,Time Slot 1,30
19,AI,Sarah Clark,967,3,Room 7,203,Day 1,Time Slot 1,30
21,AI,Alexander Scott,185,3,Room 7,204,Day 1,Time Slot 1,30
22,AI,Grace Robinson,253,3,Room 7,205,Day 1,Time Slot 1,30
19,AI,James Wilson,998,3,Room 7,206,Day 1,Time Slot 1,30
22,AI,Matthew Nelson,899,3,Room 7,207,Day 1,Time Slot 1,30
20,AI,William Rodriguez,177,3,Room 7,208,Day 1,Time Slot 1,30
20,AI,William Rodriguez,974,3,Room 7,209,Day 1,Time Slot 1,30
20,AI,William Rodriguez,947,3,Room 7,210,Day 1,Time Slot 1,30
19,AI,James Wilson,939,3,Room 8,211,Day 1,Time Slot 1,25
20,AI,Sophia Lopez,146,3,Room 8,212,Day 1,Time Slot 1,25
20,AI,Sophia Lopez,114,3,Room 8,213,Day 1,Time Slot 1,25
22,AI,Grace Robinson,900,3,Room 8,214,Day 1,Time Slot 1,25
21,AI,Alexander Scott,244,3,Room 8,215,Day 1,Time Slot 1,25
20,AI,William Rodriguez,113,3,Room 8,216,Day 1,Time Slot 1,25
22,AI,Grace Robinson,991,3,Room 8,217,Day 1,Time Slot 1,25
22,AI,Matthew Nelson,990,3,Room 8,218,Day 1,Time Slot 1,25
21,AI,Charlotte Evans,245,3,Room 8,219,Day 1,Time Slot 1,25
20,AI,Sophia Lopez,948,3,Room 8,220,Day 1,Time Slot 1,25
22,BBA,Olivia Ward,501,0,Room 8,221,Day 1,Time Slot 1,25
22,BBA,John Turner,500,0,Room 8,222,Day 1,Time Slot 1,25
21,BBA,Daniel Turner,957,0,Room 8,223,Day 1,Time Slot 1,25
21,BBA,Daniel Turner,492,0,Room 8,224,Day 1,Time Slot 1,25
21,BBA,Emily Moore,493,0,Room 8,225,Day 1,Time Slot 1,25
20,BBA,Matthew Perez,730,0,Room 8,226,Day 1,Time Slot 1,25
21,BBA,Emily Moore,156,0,Room 8,227,Day 1,Time Slot 1,25
19,BBA,Jessica Thompson,723,0,Room 8,228,Day 1,Time Slot 1,25
19,BBA,David Martinez,722,0,Room 8,229,Day 1,Time Slot 1,25
20,BBA,Isabella Green,731,0,Room 8,230,Day 1,Time Slot 1,25
21,BBA,Emily Moore,958,0,Room 8,231,Day 1,Time Slot 1,25
19,BBA,Jessica Thompson,509,0,Room 8,232,Day 1,Time Slot 1,25
19,BBA,David Martinez,508,0,Room 8,233,Day 1,Time Slot 1,25
21,BBA,Daniel Turner,155,0,Room 8,234,Day 1,Time Slot 1,25
22,BBA,Olivia Ward,255,0,Room 8,235,Day 1,Time Slot 1,25
20,BBA,Matthew Perez,484,0,Room 9,236,Day 1,Time Slot 1,35
20,BBA,Isabella Green,180,0,Room 9,237,Day 1,Time Slot 1,35
22,BBA,John Turner,441,0,Room 9,238,Day 1,Time Slot 1,35
22,BBA,Olivia Ward,442,0,Room 9,239,Day 1,Time Slot 1,35
21,BBA,Daniel Turner,893,0,Room 9,240,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,762,0,Room 9,241,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,179,0,Room 9,242,Day 1,Time Slot 1,35
19,BBA,David Martinez,449,0,Room 9,243,Day 1,Time Slot 1,35
19,BBA,Jessica Thompson,450,0,Room 9,244,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,949,0,Room 9,245,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,457,0,Room 9,246,Day 1,Time Slot 1,35
20,BBA,Isabella Green,458,0,Room 9,247,Day 1,Time Slot 1,35
19,BBA,Jessica Thompson,755,0,Room 9,248,Day 1,Time Slot 1,35
20,BBA,Isabella Green,485,0,Room 9,249,Day 1,Time Slot 1,35
19,BBA,David Martinez,754,0,Room 9,250,Day 1,Time Slot 1,35
19,BBA,Jessica Thompson,172,0,Room 9,251,Day 1,Time Slot 1,35
19,BBA,David Martinez,171,0,Room 9,252,Day 1,Time Slot 1,35
21,BBA,Daniel Turner,465,0,Room 9,253,Day 1,Time Slot 1,35
21,BBA,Emily Moore,466,0,Room 9,254,Day 1,Time Slot 1,35
22,BBA,Olivia Ward,747,0,Room 9,255,Day 1,Time Slot 1,35
22,BBA,John Turner,746,0,Room 9,256,Day 1,Time Slot 1,35
19,BBA,David Martinez,476,0,Room 9,257,Day 1,Time Slot 1,35
19,BBA,Jessica Thompson,477,0,Room 9,258,Day 1,Time Slot 1,35
21,BBA,Emily Moore,739,0,Room 9,259,Day 1,Time Slot 1,35
21,BBA,Daniel Turner,738,0,Room 9,260,Day 1,Time Slot 1,35
22,BBA,Olivia Ward,164,0,Room 9,261,Day 1,Time Slot 1,35
22,BBA,John Turner,163,0,Room 9,262,Day 1,Time Slot 1,35
20,BBA,Isabella Green,950,0,Room 9,263,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,516,0,Room 9,264,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,703,0,Room 9,265,Day 1,Time Slot 1,35
21,BBA,Emily Moore,712,0,Room 9,266,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,580,0,Room 9,267,Day 1,Time Slot 1,35
20,BBA,Isabella Green,581,0,Room 9,268,Day 1,Time Slot 1,35
20,BBA,Isabella Green,672,0,Room 9,269,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,671,0,Room 9,270,Day 1,Time Slot 1,35
21,BBA,Daniel Turner,984,0,Room 10,271,Day 1,Time Slot 1,30
21,BBA,Emily Moore,985,0,Room 10,272,Day 1,Time Slot 1,30
21,BBA,Daniel Turner,588,0,Room 10,273,Day 1,Time Slot 1,30
21,BBA,Emily Moore,589,0,Room 10,274,Day 1,Time Slot 1,30
19,BBA,Jessica Thompson,664,0,Room 10,275,Day 1,Time Slot 1,30
19,BBA,David Martinez,663,0,Room 10,276,Day 1,Time Slot 1,30
20,BBA,Isabella Green,116,0,Room 10,277,Day 1,Time Slot 1,30
20,BBA,Matthew Perez,115,0,Room 10,278,Day 1,Time Slot 1,30
19,BBA,David Martinez,599,0,Room 10,279,Day 1,Time Slot 1,30
19,BBA,Jessica Thompson,600,0,Room 10,280,Day 1,Time Slot 1,30
22,BBA,Olivia Ward,656,0,Room 10,281,Day 1,Time Slot 1,30
22,BBA,John Turner,655,0,Room 10,282,Day 1,Time Slot 1,30
20,BBA,Matthew Perez,607,0,Room 10,283,Day 1,Time Slot 1,30
19,BBA,David Martinez,631,0,Room 10,284,Day 1,Time Slot 1,30
20,BBA,Matthew Perez,639,0,Room 10,285,Day 1,Time Slot 1,30
20,BBA,Isabella Green,640,0,Room 10,286,Day 1,Time Slot 1,30
22,BBA,Olivia Ward,624,0,Room 10,287,Day 1,Time Slot 1,30
22,BBA,John Turner,623,0,Room 10,288,Day 1,Time Slot 1,30
19,BBA,David Martinez,107,0,Room 10,289,Day 1,Time Slot 1,30
21,BBA,Daniel Turner,123,0,Room 10,290,Day 1,Time Slot 1,30
19,BBA,Jessica Thompson,108,0,Room 10,291,Day 1,Time Slot 1,30
21,BBA,Emily Moore,616,0,Room 10,292,Day 1,Time Slot 1,30
21,BBA,Daniel Turner,615,0,Room 10,293,Day 1,Time Slot 1,30
22,BBA,Olivia Ward,993,0,Room 10,294,Day 1,Time Slot 1,30
22,BBA,John Turner,992,0,Room 10,295,Day 1,Time Slot 1,30
21,BBA,Emily Moore,648,0,Room 10,296,Day 1,Time Slot 1,30
20,BBA,Isabella Green,608,0,Room 10,297,Day 1,Time Slot 1,30
21,BBA,Daniel Turner,647,0,Room 10,298,Day 1,Time Slot 1,30
20,BBA,Isabella Green,517,0,Room 10,299,Day 1,Time Slot 1,30
21,BBA,Emily Moore,124,0,Room 10,300,Day 1,Time Slot 1,30
19,BBA,David Martinez,572,0,Room 11,301,Day 1,Time Slot 1,25
21,BBA,Daniel Turner,711,0,Room 11,302,Day 1,Time Slot 1,25
20,BBA,Isabella Green,148,0,Room 11,303,Day 1,Time Slot 1,25
20,BBA,Matthew Perez,147,0,Room 11,304,Day 1,Time Slot 1,25
21,BBA,Daniel Turner,524,0,Room 11,305,Day 1,Time Slot 1,25
21,BBA,Emily Moore,525,0,Room 11,306,Day 1,Time Slot 1,25
20,BBA,Isabella Green,704,0,Room 11,307,Day 1,Time Slot 1,25
19,BBA,David Martinez,968,0,Room 11,308,Day 1,Time Slot 1,25
22,BBA,John Turner,532,0,Room 11,309,Day 1,Time Slot 1,25
22,BBA,Olivia Ward,533,0,Room 11,310,Day 1,Time Slot 1,25
19,BBA,Jessica Thompson,942,0,Room 11,311,Day 1,Time Slot 1,25
19,BBA,Jessica Thompson,969,0,Room 11,312,Day 1,Time Slot 1,25
19,BBA,Jessica Thompson,140,0,Room 11,313,Day 1,Time Slot 1,25
19,BBA,David Martinez,540,0,Room 11,314,Day 1,Time Slot 1,25
19,BBA,Jessica Thompson,541,0,Room 11,315,Day 1,Time Slot 1,25
19,BBA,Jessica Thompson,696,0,Room 11,316,Day 1,Time Slot 1,25
19,BBA,David Martinez,695,0,Room 11,317,Day 1,Time Slot 1,25
19,BBA,David Martinez,139,0,Room 11,318,Day 1,Time Slot 1,25
21,BBA,Daniel Turner,679,0,Room 11,319,Day 1,Time Slot 1,25
21,BBA,Emily Moore,680,0,Room 11,320,Day 1,Time Slot 1,25
22,BBA,Olivia Ward,565,0,Room 11,321,Day 1,Time Slot 1,25
22,BBA,John Turner,564,0,Room 11,322,Day 1,Time Slot 1,25
22,BBA,John Turner,131,0,Room 11,323,Day 1,Time Slot 1,25
22,BBA,Olivia Ward,132,0,Room 11,324,Day 1,Time Slot 1,25
19,BBA,Jessica Thompson,573,0,Room 11,325,Day 1,Time Slot 1,25
22,BBA,John Turner,687,0,Room 12,326,Day 1,Time Slot 1,35
21,BBA,Emily Moore,557,0,Room 12,327,Day 1,Time Slot 1,35
21,BBA,Daniel Turner,556,0,Room 12,328,Day 1,Time Slot 1,35
20,BBA,Isabella Green,977,0,Room 12,329,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,976,0,Room 12,330,Day 1,Time Slot 1,35
20,BBA,Isabella Green,549,0,Room 12,331,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,548,0,Room 12,332,Day 1,Time Slot 1,35
22,BBA,Olivia Ward,688,0,Room 12,333,Day 1,Time Slot 1,35
21,BBA,Daniel Turner,770,0,Room 12,334,Day 1,Time Slot 1,35
20,BBA,Isabella Green,763,0,Room 12,335,Day 1,Time Slot 1,35
21,BBA,Emily Moore,434,0,Room 12,336,Day 1,Time Slot 1,35
19,BBA,David Martinez,230,0,Room 12,337,Day 1,Time Slot 1,35
22,BBA,John Turner,318,0,Room 12,338,Day 1,Time Slot 1,35
22,BBA,Olivia Ward,319,0,Room 12,339,Day 1,Time Slot 1,35
19,BBA,Jessica Thompson,846,0,Room 12,340,Day 1,Time Slot 1,35
19,BBA,Jessica Thompson,910,0,Room 12,341,Day 1,Time Slot 1,35
19,BBA,David Martinez,326,0,Room 12,342,Day 1,Time Slot 1,35
19,BBA,Jessica Thompson,327,0,Room 12,343,Day 1,Time Slot 1,35
19,BBA,David Martinez,845,0,Room 12,344,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,334,0,Room 12,345,Day 1,Time Slot 1,35
20,BBA,Isabella Green,335,0,Room 12,346,Day 1,Time Slot 1,35
21,BBA,Emily Moore,835,0,Room 12,347,Day 1,Time Slot 1,35
20,BBA,Matthew Perez,917,0,Room 12,348,Day 1,Time Slot 1,35
20,BBA,Isabella Green,918,0,Room 12,349,Day 1,Time Slot 1,35
21,BBA,Daniel Turner,342,0,Room 12,350,Day 1,Time Slot 1,35
19,BBA,Jessica Thompson,231,0,Room 12,351,Day 1,Time Slot 1,35
21,BBA,Emily Moore,343,0,Room 12,352,Day 1,Time Slot 1,35
21,BBA,Emily Moore,220,0,Room 12,353,Day 1,Time Slot 1,35
21,BBA,Emily Moore,771,0,Room 12,354,Day 1,Time Slot 1,35
20,BBA,Isabella Green,827,0,Room 12,355,Day 1,Time Slot 1,35
